proxy_name,rds_file,n_loocv_rows,overall_total_obs,overall_n_zero,overall_n_positive,overall_pct_positive,overall_mean_proxy,overall_median_proxy,euets0_total_obs,euets0_n_zero,euets0_n_positive,euets0_pct_positive,euets0_mean_proxy,euets0_median_proxy,euets1_total_obs,euets1_n_zero,euets1_n_positive,euets1_pct_positive,euets1_mean_proxy,euets1_median_proxy,mod_fuel_def,mod_use_siec_all,mod_supplier_non_euets,mod_buyer_sector_siec,mod_emissions_weighted,mod_supplier_nace_filter,mod_proxy_id
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacehigh.rds,6642,6622,1019,5603,0.846118997281788,74971089.4956446,75235.9059960938,2685,893,1792,0.667411545623836,62010767.9994859,4253.88,3937,126,3811,0.967995935991872,83809916.8304645,442220.640380859,broad_ch27,FALSE,FALSE,FALSE,FALSE,high,1
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacehigh_medium.rds,6642,6622,840,5782,0.873150105708245,89151031.2151172,308937.153571777,2685,763,1922,0.715828677839851,62758299.0589571,7013.13012695313,3937,77,3860,0.980441960883922,107150646.617528,2440661.28991699,broad_ch27,FALSE,FALSE,FALSE,FALSE,high_medium,2
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacenone.rds,6642,6622,142,6480,0.978556327393537,115673337.643047,2856060.70583374,2685,130,2555,0.951582867783985,68047965.8961079,99741.44,3937,12,3925,0.996951993903988,148153429.880926,9727936.75,broad_ch27,FALSE,FALSE,FALSE,FALSE,none,3
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacehigh.rds,6642,6622,1025,5597,0.845212926608275,549176375.280555,341406.739843504,2685,898,1787,0.665549348230913,396524797.083223,20275.5588958455,3937,127,3810,0.967741935483871,653283433.309469,2545978.37949026,broad_ch27,FALSE,FALSE,FALSE,TRUE,high,25
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacehigh_medium.rds,6642,6622,857,5765,0.870582905466626,708556517.557928,1626218.22149786,2685,778,1907,0.71024208566108,405761841.841017,29334.2732960191,3937,79,3858,0.97993395986792,915059871.456812,16561618.3325437,broad_ch27,FALSE,FALSE,FALSE,TRUE,high_medium,26
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacenone.rds,6642,6622,148,6474,0.977650256720024,845726182.903213,16315590.7120507,2685,136,2549,0.949348230912477,450998900.594979,336706.531433503,3937,12,3925,0.996951993903988,1114926780.5658,64556245.4057464,broad_ch27,FALSE,FALSE,FALSE,TRUE,none,27
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacehigh.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,FALSE,FALSE,TRUE,FALSE,high,13
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacehigh_medium.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,FALSE,FALSE,TRUE,FALSE,high_medium,14
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacenone.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,FALSE,FALSE,TRUE,FALSE,none,15
proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC1_wEm1_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll0_nonEUETS0_buyerSIEC1_wEm1_nacehigh.rds,6642,6622,4633,1989,0.300362428269405,493614662.264073,0,2685,2324,361,0.134450651769088,359761231.188301,0,3937,2309,1628,0.413512827025654,584901546.297208,0,broad_ch27,FALSE,FALSE,TRUE,TRUE,high,37
